TimeCreated,EventID,Provider,Computer,Channel,EventData
2025-06-08T21:30:41.466426Z,1002,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T21:30:41.466426Z,1004,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T21:30:41.482493Z,1314,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""C:\\Windows\\debug""}, ""Binary"": null}"
2025-06-08T21:30:42.640540Z,6102,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T21:30:43.661949Z,1206,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""DC01.pirate.htb""}, ""Binary"": null}"
2025-06-08T21:30:43.692693Z,1210,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""0""}, ""Binary"": null}"
2025-06-08T21:30:43.770301Z,4602,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": [""F6B08333-823D-4BAA-B870-B7A875756FC4"", ""C:\\Windows\\SYSVOL\\domain"", ""SYSVOL Share"", ""Domain System Volume"", ""DF878E87-D7A9-4212-8588-8A87039A4451"", ""4E666036-EB9F-4D54-A780-3646E069FE74"", """", ""0""]}, ""Binary"": null}"
2025-06-08T21:39:45.476222Z,1006,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-09T13:03:21.030869Z,1002,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-09T13:03:21.030869Z,1004,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-09T13:03:21.140275Z,1314,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""C:\\Windows\\debug""}, ""Binary"": null}"
2025-06-09T13:03:22.531052Z,6102,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-09T13:03:29.124743Z,1206,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""DC01.pirate.htb""}, ""Binary"": null}"
2025-06-09T13:03:29.188053Z,1210,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""0""}, ""Binary"": null}"
2025-06-09T14:15:06.293799Z,1002,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-09T14:15:06.308696Z,1004,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-09T14:15:06.339886Z,1314,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""C:\\Windows\\debug""}, ""Binary"": null}"
2025-06-09T14:15:07.730481Z,6102,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-09T14:15:14.324240Z,1206,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""DC01.pirate.htb""}, ""Binary"": null}"
2025-06-09T14:15:14.418092Z,1210,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""0""}, ""Binary"": null}"
2025-06-09T15:44:48.845003Z,1006,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-09T15:45:42.747750Z,1002,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-09T15:45:42.763581Z,1004,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-09T15:45:42.841486Z,1314,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""C:\\Windows\\debug""}, ""Binary"": null}"
2025-06-09T15:45:44.185974Z,6102,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-09T15:45:50.763322Z,1206,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""DC01.pirate.htb""}, ""Binary"": null}"
2025-06-09T15:45:50.825794Z,1210,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""0""}, ""Binary"": null}"
2025-06-09T17:46:58.132911Z,1006,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-09T17:46:58.742154Z,1008,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-09T17:46:59.148526Z,1002,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-09T17:46:59.148526Z,1004,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-09T17:46:59.164363Z,1314,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""C:\\Windows\\debug""}, ""Binary"": null}"
2025-06-09T17:47:00.325005Z,6102,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-09T17:47:01.356247Z,1206,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""DC01.pirate.htb""}, ""Binary"": null}"
2025-06-09T17:47:01.371842Z,1210,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""0""}, ""Binary"": null}"
2025-06-09T17:47:01.450133Z,4602,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": [""F6B08333-823D-4BAA-B870-B7A875756FC4"", ""C:\\Windows\\SYSVOL\\domain"", ""SYSVOL Share"", ""Domain System Volume"", ""DF878E87-D7A9-4212-8588-8A87039A4451"", ""4E666036-EB9F-4D54-A780-3646E069FE74"", """", ""0""]}, ""Binary"": null}"
2025-06-09T18:06:23.628742Z,1006,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-10T13:53:11.092831Z,1002,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-10T13:53:11.108463Z,1004,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-10T13:53:11.139703Z,1314,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""C:\\Windows\\debug""}, ""Binary"": null}"
2025-06-10T13:53:12.530466Z,6102,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-10T13:53:13.531466Z,1202,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ["""", ""60"", ""160"", ""One or more arguments are not correct.""]}, ""Binary"": null}"
2025-06-10T13:58:14.362291Z,1206,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""DC01.pirate.htb""}, ""Binary"": null}"
2025-06-10T13:58:14.389204Z,1210,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""0""}, ""Binary"": null}"
2025-06-10T15:46:07.188199Z,1006,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-10T15:46:07.701459Z,1008,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-10T15:46:08.201424Z,1002,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-10T15:46:08.201424Z,1004,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-10T15:46:08.217338Z,1314,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""C:\\Windows\\debug""}, ""Binary"": null}"
