2026-06-23 14:02:50 status unpacked ca-certificates:all 20260601~24.04.1
2026-06-23 14:02:50 upgrade libxml2:amd64 2.9.14+dfsg-1.3ubuntu3.7 2.9.14+dfsg-1.3ubuntu3.8
2026-06-23 14:02:50 status half-configured libxml2:amd64 2.9.14+dfsg-1.3ubuntu3.7
2026-06-23 14:02:50 status unpacked libxml2:amd64 2.9.14+dfsg-1.3ubuntu3.7
2026-06-23 14:02:50 status half-installed libxml2:amd64 2.9.14+dfsg-1.3ubuntu3.7
2026-06-23 14:02:50 status unpacked libxml2:amd64 2.9.14+dfsg-1.3ubuntu3.8
2026-06-23 14:02:50 upgrade vim:amd64 2:9.1.0016-1ubuntu7.13 2:9.1.0016-1ubuntu7.16
2026-06-23 14:02:50 status half-configured vim:amd64 2:9.1.0016-1ubuntu7.13
2026-06-23 14:02:50 status unpacked vim:amd64 2:9.1.0016-1ubuntu7.13
2026-06-23 14:02:50 status half-installed vim:amd64 2:9.1.0016-1ubuntu7.13
2026-06-23 14:02:50 status unpacked vim:amd64 2:9.1.0016-1ubuntu7.16
2026-06-23 14:02:50 upgrade vim-common:all 2:9.1.0016-1ubuntu7.13 2:9.1.0016-1ubuntu7.16
2026-06-23 14:02:50 status half-configured vim-common:all 2:9.1.0016-1ubuntu7.13
2026-06-23 14:02:51 status unpacked vim-common:all 2:9.1.0016-1ubuntu7.13
2026-06-23 14:02:51 status half-installed vim-common:all 2:9.1.0016-1ubuntu7.13
2026-06-23 14:02:51 status triggers-pending hicolor-icon-theme:all 0.17-2
2026-06-23 14:02:51 status unpacked vim-common:all 2:9.1.0016-1ubuntu7.16
2026-06-23 14:02:51 upgrade vim-tiny:amd64 2:9.1.0016-1ubuntu7.13 2:9.1.0016-1ubuntu7.16
2026-06-23 14:02:51 status half-configured vim-tiny:amd64 2:9.1.0016-1ubuntu7.13
2026-06-23 14:02:51 status unpacked vim-tiny:amd64 2:9.1.0016-1ubuntu7.13
2026-06-23 14:02:51 status half-installed vim-tiny:amd64 2:9.1.0016-1ubuntu7.13
2026-06-23 14:02:51 status unpacked vim-tiny:amd64 2:9.1.0016-1ubuntu7.16
2026-06-23 14:02:51 upgrade vim-runtime:all 2:9.1.0016-1ubuntu7.13 2:9.1.0016-1ubuntu7.16
2026-06-23 14:02:51 status half-configured vim-runtime:all 2:9.1.0016-1ubuntu7.13
2026-06-23 14:02:51 status unpacked vim-runtime:all 2:9.1.0016-1ubuntu7.13
