TimeGenerated,EventID,Computer,Provider,Channel,RecordID,Level,CONSUMER,ClientMachine,ClientProcessId,Code,Component,ESS,HostProcess,Id,Namespace,NamespaceName,Operation,PossibleCause,ProcessID,Processid,ProviderName,ProviderPath,Query,ResultCode,User,attributes_xmlns,queryid
2026-09-02T00:02:03.238351Z,5858,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,3076,2,,DC,1456,,Unknown,,,{36D3627C-55C6-4F9D-86C8-7F37295F73DB},,,"Start IWbemServices::DeleteInstance - Root\Rsop\Computer : RSOP_ExtensionStatus.extensionGuid=""{E4F48E54-F38D-4884-BFB9-D4D2E5729C18}""",Unknown,,,,,,0x80041002,NT AUTHORITY\SYSTEM,http://manifests.microsoft.com/win/2006/windows/WMI,
2026-09-02T00:02:03.239099Z,5858,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,3077,2,,DC,1456,,Unknown,,,{36D3627C-55C6-4F9D-86C8-7F37295F73DB},,,"Start IWbemServices::DeleteInstance - Root\Rsop\Computer : RSOP_ExtensionStatus.extensionGuid=""{E5094040-C46C-4115-B030-04FB2E545B00}""",Unknown,,,,,,0x80041002,NT AUTHORITY\SYSTEM,http://manifests.microsoft.com/win/2006/windows/WMI,
2026-09-02T00:02:03.239726Z,5858,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,3078,2,,DC,1456,,Unknown,,,{36D3627C-55C6-4F9D-86C8-7F37295F73DB},,,"Start IWbemServices::DeleteInstance - Root\Rsop\Computer : RSOP_ExtensionStatus.extensionGuid=""{E62688F0-25FD-4c90-BFF5-F508B9D2E31F}""",Unknown,,,,,,0x80041002,NT AUTHORITY\SYSTEM,http://manifests.microsoft.com/win/2006/windows/WMI,
2026-09-02T00:02:03.240368Z,5858,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,3079,2,,DC,1456,,Unknown,,,{36D3627C-55C6-4F9D-86C8-7F37295F73DB},,,"Start IWbemServices::DeleteInstance - Root\Rsop\Computer : RSOP_ExtensionStatus.extensionGuid=""{F312195E-3D9D-447A-A3F5-08DFFA24735E}""",Unknown,,,,,,0x80041002,NT AUTHORITY\SYSTEM,http://manifests.microsoft.com/win/2006/windows/WMI,
2026-09-02T00:02:03.249974Z,5858,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,3080,2,,DC,1456,,Unknown,,,{36D3627C-55C6-4F9D-86C8-7F37295F73DB},,,"Start IWbemServices::DeleteInstance - Root\Rsop\Computer : RSOP_ExtensionStatus.extensionGuid=""{FB2CA36D-0B40-4307-821B-A13B252DE56C}""",Unknown,,,,,,0x80041002,NT AUTHORITY\SYSTEM,http://manifests.microsoft.com/win/2006/windows/WMI,
2026-09-02T00:02:03.250729Z,5858,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,3081,2,,DC,1456,,Unknown,,,{36D3627C-55C6-4F9D-86C8-7F37295F73DB},,,"Start IWbemServices::DeleteInstance - Root\Rsop\Computer : RSOP_ExtensionStatus.extensionGuid=""{fbf687e6-f063-4d9f-9f4f-fd9a26acdd5f}""",Unknown,,,,,,0x80041002,NT AUTHORITY\SYSTEM,http://manifests.microsoft.com/win/2006/windows/WMI,
2026-09-02T00:02:03.251513Z,5858,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,3082,2,,DC,1456,,Unknown,,,{36D3627C-55C6-4F9D-86C8-7F37295F73DB},,,"Start IWbemServices::DeleteInstance - Root\Rsop\Computer : RSOP_ExtensionStatus.extensionGuid=""{FC491EF1-C4AA-4CE1-B329-414B101DB823}""",Unknown,,,,,,0x80041002,NT AUTHORITY\SYSTEM,http://manifests.microsoft.com/win/2006/windows/WMI,
2026-09-02T00:02:18.497755Z,5858,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,3083,2,,DC,5136,,Unknown,,,{00000000-0000-0000-0000-000000000000},,,Start IWbemServices::ExecQuery - root\cimv2 : SELECT * FROM Win32_ComputerSystemProduct,Unknown,,,,,,0x80041032,NT AUTHORITY\SYSTEM,http://manifests.microsoft.com/win/2006/windows/WMI,
2026-09-02T00:02:51.747785Z,5857,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,3084,0,,,,0x0,,,wmiprvse.exe,,,,,,4312,,nettcpip,%systemroot%\system32\wbem\NetTCPIP.dll,,,,http://manifests.microsoft.com/win/2006/windows/WMI,
2026-09-02T00:02:52.761812Z,5857,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,3085,0,,,,0x0,,,wmiprvse.exe,,,,,,5564,,NetAdapterCim,%systemroot%\system32\wbem\NetAdapterCim.dll,,,,http://manifests.microsoft.com/win/2006/windows/WMI,
