TimeGenerated,EventID,Computer,Provider,Channel,RecordID,Level,AdditionalErrorMessage,AppType,AppVersion,Binary,CACertIdentifier,CACommonName,CAKeyIdentifier,DCName,DCSpecifier,DN,Data_text,Data_text_0,Data_text_1,Data_text_10,Data_text_11,Data_text_12,Data_text_13,Data_text_14,Data_text_15,Data_text_16,Data_text_17,Data_text_18,Data_text_19,Data_text_2,Data_text_20,Data_text_21,Data_text_22,Data_text_3,Data_text_4,Data_text_5,Data_text_6,Data_text_7,Data_text_8,Data_text_9,DisplayName,ErrorCode,ErrorMessageText,ErrorString,FullPath,LDAPPath,Library,MethodName,Name,Pid,PolicyModuleDescription,Reason,RequestId,RmSessionId,Status,TSSessionId,URL,UTCStartTime,User,Version,Win32Error,attributes_Name,attributes_xmlns,binaryData,binaryDataSize,param1,param10,param11,param12,param2,param3,param4,param5,param6,param7,param8,param9
2026-09-02T04:23:26.232430Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 17137}",dc.scaffold.htb,MSSQL$SQLEXPRESS,Application,10615,4,,,,F14200000A0000000E000000440043005C00530051004C0045005800500052004500530053000000070000006D00610073007400650072000000,,,,,,,tempdb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T04:23:26.357439Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 9666}",dc.scaffold.htb,MSSQL$SQLEXPRESS,Application,10616,4,,,,C22500000A0000000E000000440043005C00530051004C0045005800500052004500530053000000070000006D00610073007400650072000000,,,,,,,Service Broker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T04:23:26.357439Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 9666}",dc.scaffold.htb,MSSQL$SQLEXPRESS,Application,10617,4,,,,C22500000A0000000E000000440043005C00530051004C0045005800500052004500530053000000070000006D00610073007400650072000000,,,,,,,Database Mirroring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T04:23:26.373049Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 9688}",dc.scaffold.htb,MSSQL$SQLEXPRESS,Application,10618,4,,,,D82500000A0000000E000000440043005C00530051004C0045005800500052004500530053000000070000006D00610073007400650072000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T04:23:26.373049Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 3408}",dc.scaffold.htb,MSSQL$SQLEXPRESS,Application,10619,4,,,,500D00000A0000000E000000440043005C00530051004C0045005800500052004500530053000000070000006D00610073007400650072000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T04:23:26.576188Z,"{'#attributes': {'Qualifiers': 0}, '#text': 1000}",dc.scaffold.htb,VGAuth,Application,10620,0,,,,,,,,,,,vmtoolsd: Username and password mismatch for 'Administrator',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T04:23:28.873056Z,"{'#attributes': {'Qualifiers': 0}, '#text': 1000}",dc.scaffold.htb,VGAuth,Application,10621,0,,,,,,,,,,,vmtoolsd: Username and password successfully validated for 'Administrator',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T04:23:32.685607Z,"{'#attributes': {'Qualifiers': 0}, '#text': 1000}",dc.scaffold.htb,VGAuth,Application,10622,0,,,,,,,,,,,vmtoolsd: Username and password successfully validated for 'Administrator',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T04:23:32.951176Z,"{'#attributes': {'Qualifiers': 0}, '#text': 1000}",dc.scaffold.htb,VGAuth,Application,10623,0,,,,,,,,,,,vmtoolsd: Username and password successfully validated for 'Administrator',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T04:23:35.185549Z,"{'#attributes': {'Qualifiers': 0}, '#text': 1000}",dc.scaffold.htb,VGAuth,Application,10624,0,,,,,,,,,,,vmtoolsd: Username and password successfully validated for 'Administrator',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T04:23:37.373048Z,"{'#attributes': {'Qualifiers': 0}, '#text': 1000}",dc.scaffold.htb,VGAuth,Application,10625,0,,,,,,,,,,,vmtoolsd: Username and password successfully validated for 'Administrator',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T04:23:38.513674Z,"{'#attributes': {'Qualifiers': 0}, '#text': 102}",dc.scaffold.htb,ESENT,Application,10626,4,,,,,,,,,,,,certsrv.exe,"2692,P,98",,,,,,,,,,,,,,,0,10,00,20348,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T04:23:38.529303Z,"{'#attributes': {'Qualifiers': 0}, '#text': 105}",dc.scaffold.htb,ESENT,Application,10627,4,,,,,,,,,,,,certsrv.exe,"2692,D,0",,,,,,,,,,,,,,,0,0,"
[1] 0.002139 +J(0) +M(C:0K, Fs:170, WS:668K # 668K, PF:2876K # 2608K, P:2876K)
[2] 0.000681 +J(0) +M(C:3200K, Fs:136, WS:532K # 532K, PF:3656K # 3656K, P:3656K)
[3] 0.000027 +J(0) +M(C:0K, Fs:4, WS:12K # 12K, PF:68K # 68K, P:68K)
[4] 0.000133 +J(0) +M(C:0K, Fs:19, WS:72K # 72K, PF:500K # 500K, P:500K)
[5] 0.000698 +J(0) +M(C:0K, Fs:9, WS:36K # 36K, PF:20K # 20K, P:20K)
[6] 0.003175 +J(0) +M(C:0K, Fs:35, WS:140K # 140K, PF:24K # 24K, P:24K)
[7] 0.010394 -0.006947 (3) WT +J(0) +M(C:0K, Fs:274, WS:1096K # 1096K, PF:1024K # 1024K, P:1024K)
[8] -
[9] -
[10] -
[11] -
[12] -
[13] 0.010874 -0.006940 (4) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:616/1) +M(C:0K, Fs:6, WS:-1008K # 16K, PF:-1020K # 12K, P:-1020K)
[14] 0.000018 +J(0)
[15] 0.000146 +J(0) +M(C:0K, Fs:100, WS:400K # 0K, PF:64K # 0K, P:64K)
[16] 0.001361 -0.001207 (1) WT +J(0) +M(C:0K, Fs:3, WS:4K # 0K, PF:0K # 0K, P:0K).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T04:23:38.576174Z,"{'#attributes': {'Qualifiers': 0}, '#text': 326}",dc.scaffold.htb,ESENT,Application,10628,4,,,,,,,,,,,,certsrv.exe,"2692,D,50",,,,,,,,,,,,,,,1,C:\Windows\system32\CertLog\scaffold-DC-CA.edb,0,"
[1] 0.000004 +J(0) +M(C:0K, Fs:1, WS:4K # 0K, PF:0K # 0K, P:0K)
[2] 0.001675 -0.001434 (1) WT +J(0) +M(C:0K, Fs:18, WS:8K # 0K, PF:4K # 0K, P:4K)
[3] 0.022716 -0.014271 (6) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:3480/2) +M(C:0K, Fs:25, WS:92K # 0K, PF:120K # 0K, P:120K)
[4] 0.000110 +J(0)
[5] -
[6] -
[7] -
[8] 0.004689 -0.004451 (2) CM -0.004308 (2) WT +J(CM:2, PgRf:2, Rd:14/2, Dy:0/0, Lg:54/1) +M(C:0K, Fs:40, WS:160K # 0K, PF:148K # 0K, P:148K)
[9] 0.009480 -0.009210 (3) CM -0.009033 (3) WT +J(CM:3, PgRf:23, Rd:0/2, Dy:0/0, Lg:0/0) +M(C:0K, Fs:32, WS:124K # 0K, PF:200K # 0K, P:200K)
[10] 0.001882 -0.001764 (1) CM -0.001707 (1) WT +J(CM:1, PgRf:40, Rd:0/1, Dy:0/0, Lg:0/0) +M(C:0K, Fs:5, WS:20K # 0K, PF:64K # 0K, P:64K)
[11] 0.000019 +J(CM:0, PgRf:1, Rd:0/0, Dy:0/0, Lg:0/0) +M(C:0K, Fs:4, WS:16K # 0K, PF:0K # 0K, P:0K)
[12] 0.000104 +J(CM:0, PgRf:42, Rd:0/0, Dy:0/0, Lg:0/0) +M(C:0K, Fs:1, WS:4K # 0K, PF:0K # 0K, P:0K)
[13] 0.000001 +J(0)
[14] 0.0 +J(0)
[15] 0.000006 +J(CM:0, PgRf:1, Rd:0/0, Dy:0/0, Lg:0/0).",0 0,"lgposAttach = 00000005:0084:0268,
dbv = 1568.180.400 (9360)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T04:23:39.638674Z,"{'#attributes': {'Qualifiers': 0}, '#text': 1000}",dc.scaffold.htb,VGAuth,Application,10629,0,,,,,,,,,,,vmtoolsd: Username and password successfully validated for 'Administrator',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T04:23:40.040047Z,26,dc.scaffold.htb,Microsoft-Windows-CertificationAuthority,Application,10630,4,,,,,,scaffold-DC-CA,,dc.scaffold.htb,  DC=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSG_I_SERVER_STARTED,,,,,,,,,,,,,,,
2026-09-02T04:23:42.138674Z,"{'#attributes': {'Qualifiers': 0}, '#text': 1000}",dc.scaffold.htb,VGAuth,Application,10631,0,,,,,,,,,,,vmtoolsd: Username and password successfully validated for 'Administrator',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T04:23:44.310551Z,"{'#attributes': {'Qualifiers': 0}, '#text': 1000}",dc.scaffold.htb,VGAuth,Application,10632,0,,,,,,,,,,,vmtoolsd: Username and password successfully validated for 'Administrator',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
