TimeGenerated,EventID,Computer,Provider,Channel,RecordID,Level,Binary,Data_text,Data_text_0,Data_text_1,Data_text_10,Data_text_11,Data_text_2,Data_text_3,Data_text_4,Data_text_5,Data_text_6,Data_text_7,Data_text_8,Data_text_9
2026-09-02T03:42:23.760921Z,"{'#attributes': {'Qualifiers': 0}, '#text': 330}",dc.scaffold.htb,NTDS ISAM,Directory Service,1147,4,,,NTDS,"676,D,2",,,NTDSA: ,C:\Windows\NTDS\temp.edb,0x22D8 (8920),8920 (0x22d8),9360 (0x2490),,,
2026-09-02T03:42:23.760921Z,"{'#attributes': {'Qualifiers': 0}, '#text': 700}",dc.scaffold.htb,NTDS ISAM,Directory Service,1148,4,,,NTDS,"676,D,0",,,NTDSA: ,C:\Windows\NTDS\ntds.dit,,,,,,
2026-09-02T03:42:24.510919Z,"{'#attributes': {'Qualifiers': 0}, '#text': 701}",dc.scaffold.htb,NTDS ISAM,Directory Service,1149,4,,,NTDS,"676,D,0",,,NTDSA: ,C:\Windows\NTDS\ntds.dit,0,9/1/2026,0,1,1,24
2026-09-02T03:42:23.760921Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 3033}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1150,4,,,,,,,,,,,,,,
2026-09-02T03:42:23.760921Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 3027}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1151,4,,3600,,,,,,,,,,,,
2026-09-02T03:42:23.854671Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1869}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1152,4,,,\\dc.scaffold.htb,Default-First-Site-Name,,,,,,,,,,
2026-09-02T04:11:27.573415Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 2179}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1153,4,,10366403936868254078,,,,,,,,,,,,
2026-09-02T04:11:29.604666Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1004}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1154,4,,,,,,,,,,,,,,
2026-09-02T04:13:53.576773Z,"{'#attributes': {'Qualifiers': 32768}, '#text': 3051}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1155,3,,,,,,,,,,,,,,
2026-09-02T04:13:53.576773Z,"{'#attributes': {'Qualifiers': 32768}, '#text': 3054}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1156,3,,,,,,,,,,,,,,
2026-09-02T04:13:53.795586Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 2121}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1157,4,,,,,,,,,,,,,,
2026-09-02T04:13:53.795586Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 2406}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1158,4,,Recycle Bin Feature,,,,,,,,,,,,
2026-09-02T04:13:53.795586Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 2406}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1159,4,,Privileged Access Management Feature,,,,,,,,,,,,
2026-09-02T04:13:53.795586Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 2168}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1160,4,,10366403936868254078,,,,,,,,,,,,
