"No.","Time","Source","Destination","Protocol","Length","Info"
"20163","1185.427195","fe80::2068:fe84:5fc8:efb7","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"20164","1185.859192","172.17.79.135","224.0.0.22","IGMPv3","62","Membership Report / Leave group 224.0.0.252 / Leave group 224.0.0.251"
"20165","1186.403481","fe80::2068:fe84:5fc8:efb7","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"27270","1333.537065","172.17.79.135","172.17.79.136","TCP","74","53524  >  3389 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=495358633 TSecr=0 WS=128"
"27271","1333.537366","172.17.79.136","172.17.79.135","TCP","66","3389  >  53524 [SYN, ACK] Seq=0 Ack=1 Win=64000 Len=0 MSS=1460 WS=1 SACK_PERM"
"27272","1333.537645","172.17.79.135","172.17.79.136","TCP","60","53524  >  3389 [ACK] Seq=1 Ack=1 Win=32128 Len=0"
"27273","1333.537819","172.17.79.135","172.17.79.136","RDP","103","Cookie: mstshash=john.deacon, Negotiate Request"
"27274","1333.585926","172.17.79.136","172.17.79.135","TCP","60","3389  >  53524 [ACK] Seq=1 Ack=50 Win=63951 Len=0"
"27287","1333.656432","172.17.79.136","172.17.79.135","RDP","73","Negotiate Response"
"27288","1333.656664","172.17.79.135","172.17.79.136","TCP","60","53524  >  3389 [ACK] Seq=50 Ack=20 Win=32128 Len=0"
"27289","1333.659473","172.17.79.135","172.17.79.136","TLSv1.2","463","Client Hello (SNI=172.17.79.136)"
"27290","1333.662344","172.17.79.136","172.17.79.135","TLSv1.2","926","Server Hello, Certificate, Server Hello Done"
"27291","1333.664120","172.17.79.135","172.17.79.136","TLSv1.2","372","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"27292","1333.670788","172.17.79.136","172.17.79.135","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"27293","1333.713989","172.17.79.135","172.17.79.136","TCP","60","53524  >  3389 [ACK] Seq=777 Ack=943 Win=31872 Len=0"
"27643","1338.673719","172.17.79.135","172.17.79.136","TCP","60","[TCP Keep-Alive] 53524  >  3389 [ACK] Seq=776 Ack=943 Win=31872 Len=0"
"27644","1338.673851","172.17.79.136","172.17.79.135","TCP","60","[TCP Keep-Alive ACK] 3389  >  53524 [ACK] Seq=943 Ack=777 Win=63224 Len=0"
"27932","1343.749730","172.17.79.135","172.17.79.136","TCP","60","[TCP Keep-Alive] 53524  >  3389 [ACK] Seq=776 Ack=943 Win=31872 Len=0"
"27933","1343.749924","172.17.79.136","172.17.79.135","TCP","60","[TCP Keep-Alive ACK] 3389  >  53524 [ACK] Seq=943 Ack=777 Win=63224 Len=0"
"28045","1345.453993","172.17.79.135","172.17.79.136","TLSv1.2","176","Application Data"
"28046","1345.458208","172.17.79.136","172.17.79.135","TLSv1.2","360","Application Data"
"28047","1345.458344","172.17.79.135","172.17.79.136","TCP","60","53524  >  3389 [ACK] Seq=899 Ack=1249 Win=31872 Len=0"
"28048","1345.554778","172.17.79.135","172.17.79.136","TLSv1.2","670","Application Data"
"28054","1345.616683","172.17.79.136","172.17.79.135","TCP","60","3389  >  53524 [ACK] Seq=1249 Ack=1515 Win=64000 Len=0"
"28353","1350.662108","172.17.79.135","172.17.79.136","TCP","60","[TCP Keep-Alive] 53524  >  3389 [ACK] Seq=1514 Ack=1249 Win=31872 Len=0"
"28354","1350.662264","172.17.79.136","172.17.79.135","TCP","60","[TCP Keep-Alive ACK] 3389  >  53524 [ACK] Seq=1249 Ack=1515 Win=64000 Len=0"
"28571","1354.497771","172.17.79.135","172.17.79.136","TLSv1.2","85","Encrypted Alert"
"28572","1354.497866","172.17.79.135","172.17.79.136","TCP","60","53524  >  3389 [FIN, ACK] Seq=1546 Ack=1249 Win=31872 Len=0"
"28573","1354.498057","172.17.79.136","172.17.79.135","TCP","60","3389  >  53524 [ACK] Seq=1249 Ack=1547 Win=63969 Len=0"
